GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,KafkaConfig.KafkaProperties,197,0,0,0,58,0,39,0,39,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig.RabbitMQProperties.Retry,53,0,0,0,16,0,11,0,11,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig.RabbitMQProperties.DeadLetter,43,0,0,0,13,0,9,0,9,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig,297,0,22,0,91,0,24,0,13,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig.RabbitMQProperties.Exchange,43,0,0,0,13,0,9,0,9,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig.RabbitMQProperties.Queue,63,0,0,0,19,0,13,0,13,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,RabbitMQConfig.RabbitMQProperties,171,0,0,0,49,0,33,0,33,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,KafkaConfig.KafkaProperties.Security,83,0,0,0,25,0,17,0,17,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,KafkaConfig.KafkaProperties.Schema,33,0,0,0,10,0,7,0,7,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging.config,KafkaConfig,428,0,16,0,85,0,22,0,14,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,EventPublisher.PublishingException,27,0,0,0,10,0,4,0,4,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,EventPublisher.DeliveryOptions.DeliveryMode,21,0,0,0,4,0,1,0,1,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageProducer.MessagingException,55,0,6,0,13,0,10,0,7,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,EventHandler,13,7,0,0,3,2,2,2,2,2
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageConsumer.ConsumerOptions.OffsetResetStrategy,21,0,0,0,2,0,1,0,1,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageProducer.MessagingException.ErrorCode,69,0,0,0,12,0,1,0,1,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageProducer.SendOptions,194,0,2,0,48,0,41,0,40,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,EventHandler.EventHandlingException,48,20,0,0,12,7,7,2,7,2
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageProducer.SendOptions.MessageType,33,0,0,0,6,0,1,0,1,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,DomainEvent,61,209,23,37,6,41,22,21,3,10
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,MessageConsumer.ConsumerOptions,213,0,0,0,55,0,45,0,45,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,EventPublisher.DeliveryOptions,110,0,0,0,35,0,18,0,18,0
Exalt Shared Messaging Library,com.exalt.ecosystem.shared.messaging,DomainEvent.EventPriority,0,21,0,0,0,2,0,1,0,1
